born_in	category	country	date_of_birth	date_of_death	gender	link	name	place_of_birth	place_of_death	text	year	award_age
	Literature	United States	1931-02-18		female	http://en.wikipedia.org/wiki/Toni_Morrison	Toni Morrison	Lorain, Ohio		Toni Morrison , Literature, 1993	1993	62
	Physics	United States	1937-06-26	2013-02-19	male	http://en.wikipedia.org/wiki/Robert_Coleman_Richardson	Robert C. Richardson	Washington, DC	Ithaca, NY	Robert C. Richardson , Physics, 1996	1996	59
	Physics	United States	1945-08-01		male	http://en.wikipedia.org/wiki/Douglas_D._Osheroff	Douglas D. Osheroff	Aberdeen, Washington		Douglas D. Osheroff , Physics, 1996	1996	51
	Physics	United States	1931-01-20		male	http://en.wikipedia.org/wiki/David_M._Lee	David M. Lee	Rye ,  New York		David M. Lee , Physics, 1996	1996	65
Canada	Economics	United States	1914-06-21	1996-10-11	male	http://en.wikipedia.org/wiki/William_Vickrey	William Vickrey	Victoria, British Columbia ,  Canada	Harrison, New York ,  USA	William Vickrey ,  born in Canada , Economics, 1996	1996	82
	Chemistry	United States	1933-08-23		male	http://en.wikipedia.org/wiki/Robert_F._Curl_Jr.	Robert F. Curl Jr.	Alice, Texas ,  United States		Robert F. Curl Jr. , Chemistry, 1996	1996	63
	Chemistry	United States	1943-06-06	2005-10-28	male	http://en.wikipedia.org/wiki/Richard_E._Smalley	Richard E. Smalley	Akron, Ohio	Houston, Texas	Richard E. Smalley , Chemistry, 1996	1996	53
	Physiology or Medicine	United States	1942-05-28		male	http://en.wikipedia.org/wiki/Stanley_B._Prusiner	Stanley B. Prusiner	Des Moines, Iowa , United States		Stanley B. Prusiner , Physiology or Medicine, 1997	1997	55
	Physics	United States	1948-11-05		male	http://en.wikipedia.org/wiki/William_Daniel_Phillips	William D. Phillips	Wilkes-Barre, Pennsylvania		William D. Phillips , Physics, 1997	1997	49
	Physics	United States	1948-02-28		male	http://en.wikipedia.org/wiki/Steven_Chu	Steven Chu	St. Louis, Missouri		Steven Chu , Physics, 1997	1997	49
	Peace	United States	1950-10-09		female	http://en.wikipedia.org/wiki/Jody_Williams	Jody Williams	Brattleboro , Vermont, USA		Jody Williams , Peace, 1997	1997	47
Canada	Economics	United States	1941-07-01		male	http://en.wikipedia.org/wiki/Myron_Scholes	Myron Scholes	Timmins, Ontario ,  Canada		Myron Scholes ,  born in Canada , Economics, 1997	1997	56
	Economics	United States	1944-07-31		male	http://en.wikipedia.org/wiki/Robert_C._Merton	Robert C. Merton	New York City, New York, United States		Robert C. Merton , Economics, 1997	1997	53
	Chemistry	United States	1918-07-31		male	http://en.wikipedia.org/wiki/Paul_D._Boyer	Paul D. Boyer	Provo   Utah		Paul D. Boyer , Chemistry, 1997	1997	79
	Physiology or Medicine	United States	1936-09-14		male	http://en.wikipedia.org/wiki/Ferid_Murad	Ferid Murad	Whiting, Indiana		Ferid Murad , Physiology or Medicine, 1998	1998	62
	Physiology or Medicine	United States	1941-05-31		male	http://en.wikipedia.org/wiki/Louis_J._Ignarro	Louis J. Ignarro	Brooklyn, NY		Louis J. Ignarro , Physiology or Medicine, 1998	1998	57
	Physiology or Medicine	United States	1916-06-04	2009-05-19	male	http://en.wikipedia.org/wiki/Robert_F._Furchgott	Robert F. Furchgott	Charleston ,  South Carolina	Seattle ,  Washington	Robert F. Furchgott , Physiology or Medicine, 1998	1998	82
China	Physics	United States	1939-02-28		male	http://en.wikipedia.org/wiki/Daniel_C._Tsui	Daniel C. Tsui	Henan , China		Daniel C. Tsui ,  born in China , Physics, 1998	1998	59
	Physics	United States	1950-11-01		male	http://en.wikipedia.org/wiki/Robert_B._Laughlin	Robert B. Laughlin	Visalia, California , United States		Robert B. Laughlin , Physics, 1998	1998	48
Austria	Chemistry	United States	1923-03-09		male	http://en.wikipedia.org/wiki/Walter_Kohn	Walter Kohn	Vienna		Walter Kohn ,  born in Austria , Chemistry, 1998	1998	75
Germany	Physiology or Medicine	United States	1936-05-21		male	http://en.wikipedia.org/wiki/G%C3%BCnter_Blobel	Günter Blobel	Waltersdorf  (today: Niegosławice)		Günter Blobel ,  born in then Germany, now Poland , Physiology or Medicine, 1999	1999	63
	Chemistry	United States	1946-02-26		male	http://en.wikipedia.org/wiki/Ahmed_H._Zewail	Ahmed H. Zewail	Damanhour ,  Egypt		Ahmed H. Zewail ,  born in Egypt , Chemistry, 1999	1999	53
Austria	Physiology or Medicine	United States	1929-11-07		male	http://en.wikipedia.org/wiki/Eric_R._Kandel	Eric R. Kandel	Vienna ,  Austria		Eric R. Kandel ,  born in Austria , Physiology or Medicine, 2000	2000	71
	Physiology or Medicine	United States	1925-12-11		male	http://en.wikipedia.org/wiki/Paul_Greengard	Paul Greengard	New York City, New York		Paul Greengard , Physiology or Medicine, 2000	2000	75
	Physics	United States	1923-11-08	2005-06-20	male	http://en.wikipedia.org/wiki/Jack_Kilby	Jack Kilby	Jefferson City, Missouri ,  USA	Dallas, Texas ,  USA	Jack Kilby , Physics, 2000	2000	77
	Economics	United States	1937-07-29		male	http://en.wikipedia.org/wiki/Daniel_L._McFadden	Daniel L. McFadden	Raleigh, North Carolina		Daniel L. McFadden , Economics, 2000	2000	63
	Economics	United States	1944-04-19		male	http://en.wikipedia.org/wiki/James_J._Heckman	James J. Heckman	Chicago, Illinois, USA		James J. Heckman , Economics, 2000	2000	56
New Zealand	Chemistry	United States	1927-04-14	2007-02-07	male	http://en.wikipedia.org/wiki/Alan_MacDiarmid	Alan MacDiarmid	Masterton , New Zealand	Philadelphia , U.S.	Alan MacDiarmid ,  born in New Zealand , Chemistry, 2000	2000	73
	Chemistry	United States	1936-01-22		male	http://en.wikipedia.org/wiki/Alan_Heeger	Alan Heeger	Sioux City ,  Iowa		Alan Heeger , Chemistry, 2000	2000	64
	Physiology or Medicine	United States	1939-10-30		male	http://en.wikipedia.org/wiki/Leland_H._Hartwell	Leland H. Hartwell	Los Angeles, California ,  U.S.		Leland H. Hartwell , Physiology or Medicine, 2001	2001	62
	Physics	United States	1951-03-26		male	http://en.wikipedia.org/wiki/Carl_Wieman	Carl E. Wieman	Corvallis, Oregon		Carl E. Wieman , Physics, 2001	2001	50
	Physics	United States	1961-12-19		male	http://en.wikipedia.org/wiki/Eric_Allin_Cornell	Eric A. Cornell	Palo Alto, California		Eric A. Cornell , Physics, 2001	2001	40
	Economics	United States	1943-11-07		male	http://en.wikipedia.org/wiki/A._Michael_Spence	A. Michael Spence	Montclair, New Jersey		A. Michael Spence , Economics, 2001	2001	58
	Economics	United States	1940-06-17		male	http://en.wikipedia.org/wiki/George_A._Akerlof	George A. Akerlof	New Haven, Connecticut		George A. Akerlof , Economics, 2001	2001	61
	Economics	United States	1943-02-09		male	http://en.wikipedia.org/wiki/Joseph_E._Stiglitz	Joseph E. Stiglitz	Gary, Indiana, USA		Joseph E. Stiglitz , Economics, 2001	2001	58
	Chemistry	United States	1941-04-28		male	http://en.wikipedia.org/wiki/K._Barry_Sharpless	K. Barry Sharpless	Philadelphia, Pennsylvania, United States		K. Barry Sharpless , Chemistry, 2001	2001	60
	Chemistry	United States	1917-06-01	2012-06-13	male	http://en.wikipedia.org/wiki/William_S._Knowles	William S. Knowles	Taunton, Massachusetts ,  USA	Chesterfield, Missouri	William S. Knowles , Chemistry, 2001	2001	84
	Physiology or Medicine	United States	1947-05-08		male	http://en.wikipedia.org/wiki/H._Robert_Horvitz	H. Robert Horvitz	Chicago		H. Robert Horvitz , Physiology or Medicine, 2002	2002	55
South Africa	Physiology or Medicine	United States	1927-01-13		male	http://en.wikipedia.org/wiki/Sydney_Brenner	Sydney Brenner	Germiston, Gauteng , South Africa		Sydney Brenner ,  born in South Africa , Physiology or Medicine, 2002	2002	75
Italy	Physics	United States	1931-10-06		male	http://en.wikipedia.org/wiki/Riccardo_Giacconi	Riccardo Giacconi	Genoa ,  Italy		Riccardo Giacconi ,  born in Italy , Physics, 2002	2002	71
	Physics	United States	1914-10-14	2006-05-31	male	http://en.wikipedia.org/wiki/Raymond_Davis_Jr.	Raymond Davis Jr.	Washington, D.C. , USA	Blue Point, New York , USA	Raymond Davis Jr. , Physics, 2002	2002	88
	Chemistry	United States	1917-06-15	2010-12-10	male	http://en.wikipedia.org/wiki/John_Bennett_Fenn	John Bennett Fenn	New York City ,  USA	Richmond, Virginia ,  USA	John Bennett Fenn , Chemistry, 2002	2002	85
	Peace	United States	1924-10-01		male	http://en.wikipedia.org/wiki/Jimmy_Carter	Jimmy Carter	Plains, Georgia, United States		Jimmy Carter , Peace, 2002	2002	78
	Economics	United States	1927-01-01		male	http://en.wikipedia.org/wiki/Vernon_L._Smith	Vernon L. Smith	Wichita, Kansas		Vernon L. Smith , Economics, 2002	2002	75
Russia	Physics	United States	1928-06-25		male	http://en.wikipedia.org/wiki/Alexei_A._Abrikosov	Alexei A. Abrikosov	Moscow ,  Russian SFSR ,  USSR		Alexei A. Abrikosov ,  born in Russia , Physics, 2003	2003	75
	Physiology or Medicine	United States	1929-05-06	2007-03-27	male	http://en.wikipedia.org/wiki/Paul_Lauterbur	Paul C. Lauterbur	Sidney, Ohio	Urbana, Illinois	Paul C. Lauterbur , Physiology or Medicine, 2003	2003	74
United Kingdom	Physics	United States	1938-03-26		male	http://en.wikipedia.org/wiki/Anthony_J._Leggett	Anthony J. Leggett	Camberwell ,  London ,  England ,  UK		Anthony J. Leggett ,  born in United Kingdom , Physics, 2003	2003	65
	Economics	United States	1942-11-10		male	http://en.wikipedia.org/wiki/Robert_F._Engle	Robert F. Engle	Syracuse, New York ,  U.S.		Robert F. Engle , Economics, 2003	2003	61
	Chemistry	United States	1956-02-19		male	http://en.wikipedia.org/wiki/Roderick_MacKinnon	Roderick MacKinnon	Burlington, Massachusetts ,  USA		Roderick MacKinnon , Chemistry, 2003	2003	47
	Chemistry	United States	1949-01-30		male	http://en.wikipedia.org/wiki/Peter_Agre	Peter Agre	Northfield, Minnesota		Peter Agre , Chemistry, 2003	2003	54
	Physiology or Medicine	United States	1947-01-29		female	http://en.wikipedia.org/wiki/Linda_B._Buck	Linda B. Buck	Seattle, Washington		Linda B. Buck , Physiology or Medicine, 2004	2004	57
	Physiology or Medicine	United States	1946-07-02		male	http://en.wikipedia.org/wiki/Richard_Axel	Richard Axel	Brooklyn ,  New York City ,  New York ,  USA		Richard Axel , Physiology or Medicine, 2004	2004	58
	Physics	United States	1951-05-15		male	http://en.wikipedia.org/wiki/Frank_Wilczek	Frank Wilczek	Mineola ,  New York ,  U.S.		Frank Wilczek , Physics, 2004	2004	53
	Physics	United States	1949-08-31		male	http://en.wikipedia.org/wiki/H._David_Politzer	H. David Politzer	New York City ,  New York ,  U.S.		H. David Politzer , Physics, 2004	2004	55
	Physics	United States	1941-02-19		male	http://en.wikipedia.org/wiki/David_J._Gross	David J. Gross	Washington, D.C.		David J. Gross , Physics, 2004	2004	63
	Economics	United States	1940-12-26		male	http://en.wikipedia.org/wiki/Edward_C._Prescott	Edward C. Prescott	Glens Falls, New York		Edward C. Prescott , Economics, 2004	2004	64
	Chemistry	United States	1926-07-16		male	http://en.wikipedia.org/wiki/Irwin_Rose	Irwin Rose	Brooklyn, New York		Irwin Rose , Chemistry, 2004	2004	78
	Physics	United States	1925-09-01		male	http://en.wikipedia.org/wiki/Roy_J._Glauber	Roy J. Glauber	New York City ,  New York ,  U.S.		Roy J. Glauber , Physics, 2005	2005	80
	Physics	United States	1934-08-21		male	http://en.wikipedia.org/wiki/John_L._Hall	John L. Hall	Denver ,  Colorado ,  U.S.		John L. Hall , Physics, 2005	2005	71
	Economics	United States	1921-04-14		male	http://en.wikipedia.org/wiki/Thomas_Schelling	Thomas Schelling	Oakland, California ,  USA		Thomas Schelling , Economics, 2005	2005	84
	Chemistry	United States	1945-01-04		male	http://en.wikipedia.org/wiki/Richard_R._Schrock	Richard R. Schrock	Berne, Indiana ,  United States		Richard R. Schrock , Chemistry, 2005	2005	60
	Chemistry	United States	1942-02-27		male	http://en.wikipedia.org/wiki/Robert_H._Grubbs	Robert H. Grubbs	Possum Trot ,  Kentucky   USA		Robert H. Grubbs , Chemistry, 2005	2005	63
	Physiology or Medicine	United States	1960-10-18		male	http://en.wikipedia.org/wiki/Craig_C._Mello	Craig C. Mello	New Haven ,  Connecticut		Craig C. Mello , Physiology or Medicine, 2006	2006	46
	Physiology or Medicine	United States	1959-04-27		male	http://en.wikipedia.org/wiki/Andrew_Z._Fire	Andrew Z. Fire	Palo Alto ,  California		Andrew Z. Fire , Physiology or Medicine, 2006	2006	47
	Physics	United States	1945-02-20		male	http://en.wikipedia.org/wiki/George_F._Smoot	George F. Smoot	Jacksonville, Florida, United States		George F. Smoot , Physics, 2006	2006	61
	Economics	United States	1933-07-26		male	http://en.wikipedia.org/wiki/Edmund_S._Phelps	Edmund S. Phelps	Evanston, Illinois		Edmund S. Phelps , Economics, 2006	2006	73
	Physics	United States	1946-08-07		male	http://en.wikipedia.org/wiki/John_C._Mather	John C. Mather	Roanoke ,  Virginia ,  United States		John C. Mather , Physics, 2006	2006	60
	Chemistry	United States	1947-04-24		male	http://en.wikipedia.org/wiki/Roger_D._Kornberg	Roger D. Kornberg	St. Louis, Missouri ,  United States		Roger D. Kornberg , Chemistry, 2006	2006	59
United Kingdom	Physiology or Medicine	United States	1925-06-23		male	http://en.wikipedia.org/wiki/Oliver_Smithies	Oliver Smithies	Halifax , West Yorkshire, England		Oliver Smithies ,  born in United Kingdom , Physiology or Medicine, 2007	2007	82
	Physiology or Medicine	United States	1937-10-06		male	http://en.wikipedia.org/wiki/Mario_R._Capecchi	Mario R. Capecchi	Verona ,  Italy		Mario R. Capecchi ,  born in Italy , Physiology or Medicine, 2007	2007	70
	Peace	United States	1948-03-31		male	http://en.wikipedia.org/wiki/Al_Gore	Al Gore	Washington, D.C. , United States		Al Gore , Peace, 2007	2007	59
	Economics	United States	1951-03-29		male	http://en.wikipedia.org/wiki/Roger_B._Myerson	Roger B. Myerson	Boston ,  Massachusetts		Roger B. Myerson , Economics, 2007	2007	56
	Economics	United States	1950-12-12		male	http://en.wikipedia.org/wiki/Eric_S._Maskin	Eric S. Maskin	New York City, New York   USA		Eric S. Maskin , Economics, 2007	2007	57
Russia	Economics	United States	1917-08-21	2008-06-24	male	http://en.wikipedia.org/wiki/Leonid_Hurwicz	Leonid Hurwicz	Moscow ,  Russia	Minneapolis, Minnesota ,  United States	Leonid Hurwicz ,  born in Russia , Economics, 2007	2007	90
	Chemistry	United States	1928-08-27		male	http://en.wikipedia.org/wiki/Osamu_Shimomura	Osamu Shimomura	Kyoto ,  Japan		Osamu Shimomura ,  born in Japan , Chemistry, 2008	2008	80
	Chemistry	United States	1947-01-15		male	http://en.wikipedia.org/wiki/Martin_Chalfie	Martin Chalfie	Chicago ,  IL		Martin Chalfie , Chemistry, 2008	2008	61
	Chemistry	United States	1952-02-01		male	http://en.wikipedia.org/wiki/Roger_Yonchien_Tsien	Roger Yonchien Tsien	New York City, United States		Roger Yonchien Tsien , Chemistry, 2008	2008	56
	Economics	United States	1953-02-28		male	http://en.wikipedia.org/wiki/Paul_Krugman	Paul Krugman	Albany, New York, USA		Paul Krugman , Economics, 2008	2008	55
	Physiology or Medicine	United States	1961-04-15		female	http://en.wikipedia.org/wiki/Carol_W._Greider	Carol W. Greider	San Diego, California , United States		Carol W. Greider , Physiology or Medicine, 2009	2009	48
	Physiology or Medicine	United States	1948-11-26		female	http://en.wikipedia.org/wiki/Elizabeth_Blackburn	Elizabeth Blackburn	Hobart ,  Tasmania , Australia		Elizabeth Blackburn ,  born in Australia , Physiology or Medicine, 2009	2009	61
	Physics	United States	1930-05-10		male	http://en.wikipedia.org/wiki/George_E._Smith	George E. Smith	White Plains, New York		George E. Smith , Physics, 2009	2009	79
China	Physics	United States	1933-11-04		male	http://en.wikipedia.org/wiki/Charles_K._Kao	Charles K. Kao	Shanghai, China		Charles K. Kao ,  born in China , Physics, 2009	2009	76
Canada	Physics	United States	1924-08-19	2011-05-07	male	http://en.wikipedia.org/wiki/Willard_S._Boyle	Willard S. Boyle	Amherst ,  Nova Scotia ,  Canada	Wallace ,  Nova Scotia ,  Canada	Willard S. Boyle ,  born in Canada , Physics, 2009	2009	85
	Chemistry	United States	1940-08-23		male	http://en.wikipedia.org/wiki/Thomas_A._Steitz	Thomas A. Steitz	Milwaukee ,  Wisconsin		Thomas A. Steitz , Chemistry, 2009	2009	69
India	Chemistry	United States	1952-01-01		male	http://en.wikipedia.org/wiki/Venkatraman_Ramakrishnan	Venkatraman Ramakrishnan	Chidambaram ,  Tamil Nadu , India		Venkatraman Ramakrishnan ,  born in India , Chemistry, 2009	2009	57
	Peace	United States	1961-08-04		male	http://en.wikipedia.org/wiki/Barack_H._Obama	Barack H. Obama	Honolulu, Hawaii, United States		Barack H. Obama , Peace, 2009	2009	48
	Economics	United States	1932-09-27		male	http://en.wikipedia.org/wiki/Oliver_Eaton_Williamson	Oliver Eaton Williamson	Superior, Wisconsin		Oliver Eaton Williamson , Economics, 2009	2009	77
	Economics	United States	1933-08-07	2012-06-12	female	http://en.wikipedia.org/wiki/Elinor_Ostrom	Elinor Ostrom	Los Angeles, U.S.	Bloomington, Indiana , U.S.	Elinor Ostrom , Economics, 2009	2009	76
	Chemistry	United States	1935-07-14		male	http://en.wikipedia.org/wiki/Ei-ichi_Negishi	Ei-ichi Negishi	Changchun ,  China )		Ei-ichi Negishi ,  born in Japan , Chemistry, 2010	2010	75
	Chemistry	United States	1931-08-15		male	http://en.wikipedia.org/wiki/Richard_F._Heck	Richard F. Heck	Springfield, Massachusetts		Richard F. Heck , Chemistry, 2010	2010	79
	Economics	United States	1939-02-02	2014-01-09	male	http://en.wikipedia.org/wiki/Dale_T._Mortensen	Dale T. Mortensen	Enterprise, Oregon, USA	Wilmette, Illinois	Dale T. Mortensen , Economics, 2010	2010	71
	Economics	United States	1940-04-29		male	http://en.wikipedia.org/wiki/Peter_A._Diamond	Peter A. Diamond	New York, New York		Peter A. Diamond , Economics, 2010	2010	70
	Physiology or Medicine	United States	1957-12-29		male	http://en.wikipedia.org/wiki/Bruce_Beutler	Bruce Beutler	Chicago		Bruce Beutler , Physiology or Medicine, 2011	2011	54
	Physiology or Medicine	United States	1943-01-14	2011-09-30	male	http://en.wikipedia.org/wiki/Ralph_M._Steinman	Ralph M. Steinman	Montreal, Quebec, Canada	New York City, New York, U.S.	Ralph M. Steinman ,  born in Canada , Physiology or Medicine, 2011	2011	68
	Economics	United States	1939-02-14		male	http://en.wikipedia.org/wiki/Eugene_F._Fama	Eugene F. Fama	Boston, Massachusetts		Eugene F. Fama , Economics, 2013	2013	74
	Economics	United States	1952-10-26		male	http://en.wikipedia.org/wiki/Lars_Peter_Hansen	Lars Peter Hansen	Champaign, Illinois		Lars Peter Hansen , Economics, 2013	2013	61
	Economics	United States	1946-03-29		male	http://en.wikipedia.org/wiki/Robert_J._Shiller	Robert J. Shiller	Detroit ,  Michigan		Robert J. Shiller , Economics, 2013	2013	67
	Physics	United States	1954-05-22		male	http://en.wikipedia.org/wiki/Shuji_Nakamura	Shuji Nakamura	Ikata, Ehime, Japan		Shuji Nakamura ,  born in Japan , Physics, 2014	2014	60
	Chemistry	United States	1960-01-13		male	http://en.wikipedia.org/wiki/Eric_Betzig	Eric Betzig			Eric Betzig , Chemistry, 2014	2014	54
	Chemistry	United States	1953-06-24		male	http://en.wikipedia.org/wiki/W._E._Moerner	William E. Moerner	Pleasanton, California		William E. Moerner , Chemistry, 2014	2014	61
	Physiology or Medicine	United Kingdom	1857-05-13	1932-09-16	male	http://en.wikipedia.org/wiki/Ronald_Ross	Ronald Ross	Almora ,  India	London, England, United Kingdom	Ronald Ross , Physiology or Medicine, 1902	1902	45
	Peace	United Kingdom	1828-03-18	1908-07-22	male	http://en.wikipedia.org/wiki/William_Randal_Cremer	William Randal Cremer	Fareham	London	William Randal Cremer , Peace, 1903	1903	75
	Chemistry	United Kingdom	1852-10-02	1916-07-23	male	http://en.wikipedia.org/wiki/William_Ramsay	William Ramsay	Glasgow , Scotland	High Wycombe ,  Bucks. , England	William Ramsay , Chemistry, 1904	1904	52
	Physics	United Kingdom	1842-11-12	1919-06-30	male	http://en.wikipedia.org/wiki/John_William_Strutt,_3rd_Baron_Rayleigh	John Strutt	Langford Grove,  Maldon, Essex , England	Terling Place,  Witham, Essex , England	John Strutt, 3rd Baron Rayleigh , Physics, 1904	1904	62
	Physics	United Kingdom	1856-12-18	1940-08-30	male	http://en.wikipedia.org/wiki/J._J._Thomson	J. J. Thomson	Cheetham Hill ,  Manchester ,  Lancashire ,  England ,  United Kingdom	Cambridge ,  Cambridgeshire ,  England ,  UK	J. J. Thomson , Physics, 1906	1906	50
	Literature	United Kingdom	1865-12-30	1936-01-18	male	http://en.wikipedia.org/wiki/Rudyard_Kipling	Rudyard Kipling	Bombay	Middlesex Hospital, London	Rudyard Kipling ,  born in India , Literature, 1907	1907	42
Australia	Physics	United Kingdom	1890-03-31	1971-07-01	male	http://en.wikipedia.org/wiki/William_Lawrence_Bragg	William Lawrence Bragg	North Adelaide , South Australia	Waldringfield , Suffolk, England	William Lawrence Bragg ,  born in Australia , Physics, 1915	1915	25
	Physics	United Kingdom	1862-07-02	1942-03-12	male	http://en.wikipedia.org/wiki/William_Henry_Bragg	William Henry Bragg	Wigton ,  Cumberland , England	London, England	William Henry Bragg , Physics, 1915	1915	53
	Physics	United Kingdom	1877-06-07	1944-10-23	male	http://en.wikipedia.org/wiki/Charles_Glover_Barkla	Charles Glover Barkla	Widnes ,  Cheshire ,  England	Edinburgh ,  Scotland	Charles Glover Barkla , Physics, 1917	1917	40
	Chemistry	United Kingdom	1877-09-02	1956-09-22	male	http://en.wikipedia.org/wiki/Frederick_Soddy	Frederick Soddy	Eastbourne ,  England	Brighton , England	Frederick Soddy , Chemistry, 1921	1921	44
	Chemistry	United Kingdom	1877-09-01	1945-11-20	male	http://en.wikipedia.org/wiki/Francis_William_Aston	Francis William Aston	Harborne ,  Birmingham	Cambridge	Francis William Aston , Chemistry, 1922	1922	45
United Kingdom	Physiology or Medicine	United Kingdom	1876-09-06	1935-03-16	male	http://en.wikipedia.org/wiki/John_James_Rickard_Macleod	John James Rickard Macleod	Clunie ,  Perthshire ,  Scotland	Aberdeen ,  Scotland	John James Rickard Macleod *, Physiology or Medicine, 1923	1923	47
	Peace	United Kingdom	1863-10-16	1937-03-17	male	http://en.wikipedia.org/wiki/Austen_Chamberlain	Austen Chamberlain	Birmingham , England	unknown	Austen Chamberlain , Peace, 1925	1925	62
	Physics	United Kingdom	1869-02-14	1959-11-15	male	http://en.wikipedia.org/wiki/Charles_Thomson_Rees_Wilson	Charles Thomson Rees Wilson	Midlothian , Scotland	Edinburgh , Scotland	Charles Thomson Rees Wilson , Physics, 1927	1927	58
	Physics	United Kingdom	1879-04-26	1959-02-15	male	http://en.wikipedia.org/wiki/Owen_Willans_Richardson	Owen Willans Richardson	Dewsbury ,  Yorkshire ,  England	Alton, Hampshire ,  England	Owen Willans Richardson , Physics, 1928	1928	49
	Physiology or Medicine	United Kingdom	1861-06-20	1947-05-16	male	http://en.wikipedia.org/wiki/Frederick_Hopkins	Frederick Hopkins	Eastbourne ,  Sussex ,  England	Cambridge ,  England	Frederick Hopkins , Physiology or Medicine, 1929	1929	68
	Chemistry	United Kingdom	1865-10-12	1940-06-17	male	http://en.wikipedia.org/wiki/Arthur_Harden	Arthur Harden	Manchester ,  Lancashire ,  England ,  United Kingdom	Bourne End ,  Buckinghamshire , England, UK	Arthur Harden , Chemistry, 1929	1929	64
	Physiology or Medicine	United Kingdom	1889-11-30	1977-08-04	male	http://en.wikipedia.org/wiki/Edgar_Adrian,_1st_Baron_Adrian	Edgar Adrian	Hampstead , London, England	Cambridge ,  Cambridgeshire , England	Edgar Adrian, 1st Baron Adrian , Physiology or Medicine, 1932	1932	43
	Literature	United Kingdom	1867-08-14	1933-01-31	male	http://en.wikipedia.org/wiki/John_Galsworthy	John Galsworthy	Kingston upon Thames, Surrey , England	London, England	John Galsworthy , Literature, 1932	1932	65
	Physics	United Kingdom	1903-12-05	1969-08-09	male	http://en.wikipedia.org/wiki/Cecil_Frank_Powell	Cecil Frank Powell	Tonbridge ,  Kent ,  England	Valsassina ,  Italy	Cecil Frank Powell , Physics, 1950	1950	47
	Literature	United Kingdom	1872-05-18	1970-02-02	male	http://en.wikipedia.org/wiki/Bertrand_Russell	Bertrand Russell	Trellech, Monmouthshire, United Kingdom	Penrhyndeudraeth, Wales, United Kingdom	Bertrand Russell , Literature, 1950	1950	78
	Physics	United Kingdom	1897-05-27	1967-09-18	male	http://en.wikipedia.org/wiki/John_Cockcroft	John Cockcroft	Todmorden , England	Cambridge , England	John Cockcroft , Physics, 1951	1951	54
	Chemistry	United Kingdom	1914-10-28	1994-08-18	male	http://en.wikipedia.org/wiki/Richard_Laurence_Millington_Synge	Richard Laurence Millington Synge	Liverpool ,  England	Norwich ,  England	Richard Laurence Millington Synge , Chemistry, 1952	1952	38
	Chemistry	United Kingdom	1910-03-01	2002-07-28	male	http://en.wikipedia.org/wiki/Archer_John_Porter_Martin	Archer John Porter Martin	London		Archer John Porter Martin , Chemistry, 1952	1952	42
Germany	Physiology or Medicine	United Kingdom	1900-08-25	1981-11-22	male	http://en.wikipedia.org/wiki/Hans_Adolf_Krebs	Hans Adolf Krebs	Hildesheim ,  Germany	Oxford ,  England	Hans Adolf Krebs ,  born in Germany , Physiology or Medicine, 1953	1953	53
	Literature	United Kingdom	1874-11-30	1965-01-24	male	http://en.wikipedia.org/wiki/Winston_Churchill	Winston Churchill	Blenheim Palace ,  Woodstock , Oxfordshire, England, United Kingdom	Hyde Park Gate , London, England, United Kingdom	Winston Churchill , Literature, 1953	1953	79
Germany	Physics	United Kingdom	1882-12-11	1970-01-05	male	http://en.wikipedia.org/wiki/Max_Born	Max Born	Breslau ,  Germany	Göttingen ,  Germany	Max Born ,  born in then Germany, now Poland , Physics, 1954	1954	72
	Chemistry	United Kingdom	1897-06-19	1967-10-09	male	http://en.wikipedia.org/wiki/Cyril_Norman_Hinshelwood	Cyril Norman Hinshelwood	London ,  England		Cyril Norman Hinshelwood , Chemistry, 1956	1956	59
	Chemistry	United Kingdom	1907-10-02	1997-01-10	male	http://en.wikipedia.org/wiki/Alexander_R._Todd,_Baron_Todd	Alexander R. Todd	Cathcart, Glasgow	Oakington, Cambridgeshire	Alexander R. Todd, Baron Todd , Chemistry, 1957	1957	50
	Chemistry	United Kingdom	1918-08-13	2013-11-19	male	http://en.wikipedia.org/wiki/Frederick_Sanger	Frederick Sanger	Rendcomb, Gloucestershire, England	Cambridge, England	Frederick Sanger , Chemistry, 1958	1958	40
	Peace	United Kingdom	1889-11-01	1982-10-08	male	http://en.wikipedia.org/wiki/Philip_Noel-Baker,_Baron_Noel-Baker	Philip Noel-Baker	Hendon, London, UK	Westminster, London, UK	Philip Noel-Baker , Peace, 1959	1959	70
Brazil	Physiology or Medicine	United Kingdom	1915-02-28	1987-10-02	male	http://en.wikipedia.org/wiki/Peter_Medawar	Peter Medawar	Rio de Janeiro ,  Brazil	London, England	Peter Medawar ,  born in Brazil (British citizen only) , Physiology or Medicine, 1960	1960	45
New Zealand	Physiology or Medicine	United Kingdom	1916-12-15	2004-10-05	male	http://en.wikipedia.org/wiki/Maurice_Wilkins	Maurice Wilkins	Pongaroa ,  Wairarapa ,  New Zealand	Blackheath ,  London ,  United Kingdom	Maurice Wilkins ,  born in New Zealand , Physiology or Medicine, 1962	1962	46
	Physiology or Medicine	United Kingdom	1916-06-08	2004-07-28	male	http://en.wikipedia.org/wiki/Francis_Crick	Francis Crick	Weston Favell ,  Northamptonshire , England, UK	San Diego ,  California , USA	Francis Crick , Physiology or Medicine, 1962	1962	46
