born_in	category	country	date_of_birth	date_of_death	gender	link	name	place_of_birth	place_of_death	text	year	award_age
Russia	Chemistry	Germany	1853-09-02	1932-04-04	male	http://en.wikipedia.org/wiki/Wilhelm_Ostwald	Wilhelm Ostwald	Riga ,  Latvia	Leipzig , Germany	Wilhelm Ostwald ,  born in then Russia, now Latvia , Chemistry, 1909	1909	56
	Physics	Germany	1850-06-06	1918-04-20	male	http://en.wikipedia.org/wiki/Karl_Ferdinand_Braun	Karl Ferdinand Braun	Fulda ,  Electorate of Hessen , Germany	Brooklyn , New York	Karl Ferdinand Braun , Physics, 1909	1909	59
	Literature	Germany	1830-03-15	1914-04-02	male	http://en.wikipedia.org/wiki/Paul_Johann_Ludwig_Heyse	Paul Johann Ludwig Heyse	Berlin ,  Germany	Munich ,  Germany	Paul Johann Ludwig Heyse , Literature, 1910	1910	80
	Physiology or Medicine	Germany	1853-09-16	1927-07-05	male	http://en.wikipedia.org/wiki/Albrecht_Kossel	Albrecht Kossel	Rostock	Heidelberg ,  Germany	Albrecht Kossel , Physiology or Medicine, 1910	1910	57
	Literature	Italy	1896-10-12	1981-09-12	male	http://en.wikipedia.org/wiki/Eugenio_Montale	Eugenio Montale	Genoa , Italy	Milan , Italy	Eugenio Montale , Literature, 1975	1975	79
	Physics	Italy	1934-03-31		male	http://en.wikipedia.org/wiki/Carlo_Rubbia	Carlo Rubbia	Gorizia ,  Friuli-Venezia Giulia ,  Italy		Carlo Rubbia , Physics, 1984	1984	50
	Literature	Italy	1926-03-24		male	http://en.wikipedia.org/wiki/Dario_Fo	Dario Fo	Leggiuno Sangiano, in Lombardy's Province of Varese, near the eastern shore of Lago Maggiore		Dario Fo , Literature, 1997	1997	71
Italy	Physiology or Medicine	Italy	1937-10-06		male	http://en.wikipedia.org/wiki/Mario_Capecchi	Mario Capecchi	Verona ,  Italy		Mario Capecchi *, Physiology or Medicine, 2007	2007	70
Ukraine	Literature	Israel	1888-07-17	1970-02-17	male	http://en.wikipedia.org/wiki/Shmuel_Yosef_Agnon	Shmuel Yosef Agnon	Buczacz ,  Galicia  ( Buchach ,  Ukraine )	Jerusalem ,  Israel	Shmuel Yosef Agnon ,  born in what was then Austria-Hungary, now Ukraine , Literature, 1966	1966	78
Russia	Peace	Israel	1913-08-16	1992-03-09	male	http://en.wikipedia.org/wiki/Menachem_Begin	Menachem Begin	Brest ,  Russian Empire	Tel Aviv , Israel	Menachem Begin ,  born in what was then Russia, now Belarus , Peace, 1978	1978	65
Poland	Peace	Israel	1923-08-02		male	http://en.wikipedia.org/wiki/Shimon_Peres	Shimon Peres	Poland		Shimon Peres ,  born in what was then Poland, now Belarus , Peace, 1994	1994	71
	Peace	Israel	1922-03-01	1995-11-04	male	http://en.wikipedia.org/wiki/Yitzhak_Rabin	Yitzhak Rabin	Jerusalem ,  Mandatory Palestine	Tel Aviv ,  Israel	Yitzhak Rabin , Peace, 1994	1994	72
	Economics	Israel	1934-03-05		male	http://en.wikipedia.org/wiki/Daniel_Kahneman	Daniel Kahneman	Tel Aviv, Israel		Daniel Kahneman , Economics, 2002	2002	68
	Chemistry	Israel	1947-10-01		male	http://en.wikipedia.org/wiki/Aaron_Ciechanover	Aaron Ciechanover	Haifa, Mandatory Palestine		Aaron Ciechanover , Chemistry, 2004	2004	57
	Economics	Israel	1930-06-08		male	http://en.wikipedia.org/wiki/Robert_Aumann	Robert Aumann	Frankfurt am Main ,  Germany		Robert Aumann ,  born in Germany , Economics, 2005	2005	75
Russia	Physics	Netherlands	1958-10-01		male	http://en.wikipedia.org/wiki/Andre_Geim	Andre Geim	Sochi , Russia		Andre Geim ,  born in Russia , Physics, 2010	2010	52
